'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
Medium Energy Discharge Elutriation I Blueprint	中型能量武器释放过滤器蓝图 I
Medium Energy Discharge Elutriation II	中型能量武器释放过滤器 II
Medium Energy Discharge Elutriation II Blueprint	中型能量武器释放过滤器蓝图 II
Medium Energy Locus Coordinator I	中型能量武器轨迹校准设备 I
Medium Energy Locus Coordinator I Blueprint	中型能量武器轨迹校准设备蓝图 I
Medium Energy Locus Coordinator II	中型能量武器轨迹校准设备 II
Medium Energy Locus Coordinator II Blueprint	中型能量武器轨迹校准设备蓝图 II
Medium Energy Metastasis Adjuster I	中型能量武器急转控制器 I
Medium Energy Metastasis Adjuster I Blueprint	中型能量武器急转控制器蓝图 I
Medium Energy Metastasis Adjuster II	中型能量武器急转控制器 II
Medium Energy Metastasis Adjuster II Blueprint	中型能量武器急转控制器蓝图 II
Medium Energy Neutralizer I	中型能量中和器 I
Medium Energy Neutralizer I Blueprint	中型能量中和器蓝图 I
Medium Energy Neutralizer II	中型能量中和器 II
Medium Energy Neutralizer II Blueprint	中型能量中和器蓝图 II
Medium Energy Nosferatu I	中型掠能器 I
Medium Energy Nosferatu I Blueprint	中型掠能器蓝图 I
Medium Energy Nosferatu II	中型掠能器 II
Medium Energy Nosferatu II Blueprint	中型掠能器蓝图 II
Medium Energy Turret	中型能量炮台研究
Medium Energy Weapon Rigs	中型能量武器改装件
Medium Engine Thermal Shielding I	中型引擎热能防护装置 I
Medium Engine Thermal Shielding I Blueprint	中型引擎热能防护装置蓝图 I
Medium Engine Thermal Shielding II	中型引擎热能防护装置 II
Medium Engine Thermal Shielding II Blueprint	中型引擎热能防护装置蓝图 II
Medium Engineering Rigs	中型工程改装件
Medium F-4a Ld-Sulfate Capacitor Charge Unit	中型F-4a硫酸铅电容充电组件
Medium F-RX Prototype Capacitor Boost	中型F-RX尖端型电容注电器 I
Medium F-S9 Regolith Compact Shield Extender	中型F-S9覆盖式紧凑型护盾扩展装置
Medium Freight Container	中型货物集装箱
Medium Freight Container Blueprint	中型货物集装箱蓝图
Medium Ghoul Compact Energy Nosferatu	中型盗墓者紧凑型掠能器
Medium Graviton Smartbomb I	中型引力子立体炸弹 I
Medium Graviton Smartbomb I Blueprint	中型引力子立体炸弹蓝图 I
Medium Graviton Smartbomb II	中型引力子立体炸弹 II
Medium Graviton Smartbomb II Blueprint	中型引力子立体炸弹蓝图 II
Medium Gravity Capacitor Upgrade I	中型引力电容器升级 I
Medium Gravity Capacitor Upgrade I Blueprint	中型引力电容器升级蓝图 I
Medium Gravity Capacitor Upgrade II	中型引力电容器升级 II
Medium Gravity Capacitor Upgrade II Blueprint	中型引力电容器升级蓝图 II
Medium Gremlin Compact Energy Neutralizer	中型小鬼紧凑型能量中和器
Medium Higgs Anchor I	中型希格斯粒子锚 I
Medium Higgs Anchor I Blueprint	中型希格斯粒子锚 I蓝图
Medium Hull Maintenance Bot I	中型船体维护机器人 I
Medium Hull Maintenance Bot I Blueprint	中型船体维护机器人蓝图 I
Medium Hull Maintenance Bot II	中型船体维护机器人 II
Medium Hull Maintenance Bot II Blueprint	中型船体维护机器人蓝图 II
Medium Hull Repairer I	中型结构维修器 I
Medium Hull Repairer I Blueprint	中型结构维修器蓝图 I
Medium Hull Repairer II	中型结构维修器 II
Medium Hull Repairer II Blueprint	中型结构维修器蓝图 II
Medium Hybrid Ambit Extension I	中型混合武器范围扩大装置 I
Medium Hybrid Ambit Extension I Blueprint	中型混合武器范围扩大装置蓝图 I
Medium Hybrid Ambit Extension II	中型混合武器范围扩大装置 II
Medium Hybrid Ambit Extension II Blueprint	中型混合武器范围扩大装置蓝图 II
Medium Hybrid Burst Aerator I	中型混合武器射速调节装置 I
Medium Hybrid Burst Aerator I Blueprint	中型混合武器射速调节装置蓝图 I
Medium Hybrid Burst Aerator II	中型混合武器射速调节装置 II
Medium Hybrid Burst Aerator II Blueprint	中型混合武器射速调节装置蓝图 II
Medium Hybrid Collision Accelerator I	中型混合武器冲击加速器 I
Medium Hybrid Collision Accelerator I Blueprint	中型混合武器冲击加速器蓝图 I
Medium Hybrid Collision Accelerator II	中型混合武器冲击加速器 II
Medium Hybrid Collision Accelerator II Blueprint	中型混合武器冲击加速器蓝图 II
Medium Hybrid Discharge Elutriation I	中型混合武器节能设备 I
Medium Hybrid Discharge Elutriation I Blueprint	中型混合武器节能设备蓝图 I
Medium Hybrid Discharge Elutriation II	中型混合武器节能设备 II
Medium Hybrid Discharge Elutriation II Blueprint	中型混合武器节能设备蓝图 II
Medium Hybrid Locus Coordinator I	中型混合武器轨迹校准设备 I
Medium Hybrid Locus Coordinator I Blueprint	中型混合武器轨迹校准设备蓝图 I
Medium Hybrid Locus Coordinator II	中型混合武器轨迹校准设备 II
Medium Hybrid Locus Coordinator II Blueprint	中型混合武器轨迹校准设备蓝图 II
Medium Hybrid Metastasis Adjuster I	中型混合武器急转控制器 I
Medium Hybrid Metastasis Adjuster I Blueprint	中型混合武器急转控制器蓝图 I
Medium Hybrid Metastasis Adjuster II	中型混合武器急转控制器 II
Medium Hybrid Metastasis Adjuster II Blueprint	中型混合武器急转控制器蓝图 II
Medium Hybrid Turret	中型混合炮台研究
Medium Hybrid Weapon Rigs	中型混合武器改装件
Medium Hydraulic Bay Thrusters I	中型液压舱推进器 I
Medium Hydraulic Bay Thrusters I Blueprint	中型液压舱推进器蓝图 I
Medium Hydraulic Bay Thrusters II	中型液压舱推进器 II
Medium Hydraulic Bay Thrusters II Blueprint	中型液压舱推进器蓝图 II
Medium Hyperspatial Velocity Optimizer I	中型超空间速度调节器 I
Medium Hyperspatial Velocity Optimizer I Blueprint	中型超空间速度调节器蓝图 I
Medium Hyperspatial Velocity Optimizer II	中型超空间速度调节器 II
Medium Hyperspatial Velocity Optimizer II Blueprint	中型超空间速度调节器蓝图 II
Medium I-a Polarized Armor Regenerator	中型I-a偏振式装甲再生器
Medium I-ax Enduring Remote Armor Repairer	中型I-ax持久型远程装甲维修器
Medium I-b Polarized Structural Regenerator	中型I-b偏振式结构再生器
Medium Ice Harvester Accelerator I	中型冰矿采集器加速器 I
Medium Ice Harvester Accelerator I Blueprint	中型冰矿采集器加速器蓝图 I
Medium Inefficient Armor Repair Unit	中型基础装甲维修组件
Medium Inefficient Hull Repair Unit	中型基础结构维修元件
Medium Infectious Scoped Energy Neutralizer	中型传染视野型能量中和器
Medium Inverted Signal Field Projector I	中型反信号区域投射器 I
Medium Inverted Signal Field Projector I Blueprint	中型反信号区域投射器蓝图 I
Medium Inverted Signal Field Projector II	中型反信号区域投射器 II
Medium Inverted Signal Field Projector II Blueprint	中型反信号区域投射器蓝图 II
Medium Ionic Field Projector I	中型离子力场投射器 I
Medium Ionic Field Projector I Blueprint	中型离子力场投射器蓝图 I
Medium Ionic Field Projector II	中型离子力场投射器 II
Medium Ionic Field Projector II Blueprint	中型离子力场投射器蓝图 II
Medium Jump Clone Tax I Blueprint	中型远距克隆税率蓝图 I
Medium Jump Clone Tax II Blueprint	中型远距克隆税率蓝图 II
Medium Knave Scoped Energy Nosferatu	中型流氓视野型掠能器
Medium Laboratory	中型实验室
Medium Laboratory Blueprint	中型实验室蓝图
Medium Liquid Cooled Electronics I	中型水冷电子设备 I
Medium Liquid Cooled Electronics I Blueprint	中型水冷电子设备蓝图 I
Medium Liquid Cooled Electronics II	中型水冷电子设备 II
Medium Liquid Cooled Electronics II Blueprint	中型水冷电子设备蓝图 II
Medium Low Friction Nozzle Joints I	中型低摩擦喷嘴接口 I
Medium Low Friction Nozzle Joints I Blueprint	中型低摩擦喷嘴接口蓝图 I
Medium Low Friction Nozzle Joints II	中型低摩擦喷嘴接口 II
Medium Low Friction Nozzle Joints II Blueprint	中型低摩擦喷嘴接口蓝图 II
Medium Loyalty Point Store Reduction I Blueprint	中型忠诚点商店减耗蓝图 I
Medium Loyalty Point Store Reduction II Blueprint	中型忠诚点商店减耗蓝图 II
Medium Memetic Algorithm Bank I	中型弥集进化演算法数据库 I
Medium Memetic Algorithm Bank I Blueprint	中型弥集进化演算法数据库蓝图 I
Medium Memetic Algorithm Bank II	中型弥集进化演算法数据库 II
Medium Memetic Algorithm Bank II Blueprint	中型弥集进化演算法数据库蓝图 II
Medium Mercoxit Mining Crystal Optimization I	中型基腹断岩采集晶体优化器 I
Medium Mercoxit Mining Crystal Optimization I Blueprint	中型基腹断岩采集晶体优化器蓝图 I
Medium Micro Jump Drive	中型微型跳跃引擎
Medium Micro Jump Drive Blueprint	中型微型跳跃引擎蓝图
Medium Military Beacon	中型军事信标
Medium Missile Launcher Rigs	中型导弹发射器改装件
Medium Mobile Siphon Unit	中型移动式虹吸装置
Medium Module Manufacturing I Blueprint	中型装备制造蓝图 I
Medium Module Manufacturing II Blueprint	中型装备制造蓝图 II
Medium Module Research I	中型装备研究 I
Medium Module Research I Blueprint	中型装备研究蓝图 I
Medium Module Research II	中型装备研究 II
Medium Module Research II Blueprint	中型装备研究蓝图 II
Medium Murky Compact Remote Shield Booster	中型昏暗紧凑型远程护盾回充增量器
Medium Murky Remote Capacitor Transmitter	中型昏暗远程电容传输装置
Medium Nano Armor Repair Unit I	中型纳米装甲维修组件 I
Medium Nanobot Accelerator I	中型纳米机器人加速器 I
Medium Nanobot Accelerator I Blueprint	中型纳米机器人加速器蓝图 I
Medium Nanobot Accelerator II	中型纳米机器人加速器 II
Medium Nanobot Accelerator II Blueprint	中型纳米机器人加速器蓝图 II
Medium Neutron Saturation Injector I	中型中子饱和喷注器 I
Medium Observatory Array	中型瞭望阵列
Medium Observatory Array Blueprint	中型瞭望阵列蓝图
Medium Office Number I Blueprint	中型办公室数量蓝图 I
Medium Office Number II Blueprint	中型办公室数量蓝图 II
Medium Ohm Capacitor Reserve I	中型欧姆电容蓄电器 I
Medium Partial E95b Remote Capacitor Transmitter	E95b中型有限远程电容传输装置
Medium Particle Dispersion Augmentor I	中型粒子散布放大器 I
Medium Particle Dispersion Augmentor I Blueprint	中型粒子散布放大器蓝图 I
Medium Particle Dispersion Augmentor II	中型粒子散布放大器 II
Medium Particle Dispersion Augmentor II Blueprint	中型粒子散布放大器蓝图 II
Medium Particle Dispersion Projector I	中型粒子散布投放器 I
Medium Particle Dispersion Projector I Blueprint	中型粒子散布投放器蓝图 I
Medium Particle Dispersion Projector II	中型粒子散布投放器 II
Medium Particle Dispersion Projector II Blueprint	中型粒子散布投放器蓝图 II
Medium Peroxide Capacitor Power Cell	中型过氧化物电容能源电池
Medium Planetary Production Increase I Blueprint	中型行星产能提升蓝图 I
Medium Planetary Production Increase II Blueprint	中型行星产能提升蓝图 II
Medium Plasma Smartbomb I	中型等离子立体炸弹 I
Medium Plasma Smartbomb I Blueprint	中型等离子立体炸弹蓝图 I
Medium Plasma Smartbomb II	中型等离子立体炸弹 II
Medium Plasma Smartbomb II Blueprint	中型等离子立体炸弹蓝图 II
Medium Polycarbon Engine Housing I	中型复合碳素引擎舱 I
Medium Polycarbon Engine Housing I Blueprint	中型复合碳素引擎舱蓝图 I
Medium Polycarbon Engine Housing II	中型复合碳素引擎舱 II
Medium Polycarbon Engine Housing II Blueprint	中型复合碳素引擎舱蓝图 II
Medium Powergrid Subroutine Maximizer I	中型能量栅格子程序优化器 I
Medium Powergrid Subroutine Maximizer I Blueprint	中型能量栅格子程序优化器蓝图 I
Medium Powergrid Subroutine Maximizer II	中型能量栅格子程序优化器 II
Medium Powergrid Subroutine Maximizer II Blueprint	中型能量栅格子程序优化器蓝图 II
Medium Processor Overclocking Unit I	中型处理器超频组件 I
Medium Processor Overclocking Unit I Blueprint	中型处理器超频组件蓝图 I
Medium Processor Overclocking Unit II	中型处理器超频组件 II
Medium Processor Overclocking Unit II Blueprint	中型处理器超频组件蓝图 II
Medium Projectile Ambit Extension I	中型射弹武器范围扩大装置 I
Medium Projectile Ambit Extension I Blueprint	中型射弹武器范围扩大装置蓝图 I
Medium Projectile Ambit Extension II	中型射弹武器范围扩大装置 II
Medium Projectile Ambit Extension II Blueprint	中型射弹武器范围扩大装置蓝图 II
Medium Projectile Burst Aerator I	中型射弹武器射速调节装置 I
Medium Projectile Burst Aerator I Blueprint	中型射弹武器射速调节装置蓝图 I
Medium Projectile Burst Aerator II	中型射弹武器射速调节装置 II
Medium Projectile Burst Aerator II Blueprint	中型射弹武器射速调节装置蓝图 II
Medium Projectile Collision Accelerator I	中型射弹武器冲击加速器 I
Medium Projectile Collision Accelerator I Blueprint	中型射弹武器冲击加速器蓝图 I
Medium Projectile Collision Accelerator II	中型射弹武器冲击加速器 II
Medium Projectile Collision Accelerator II Blueprint	中型射弹武器冲击加速器蓝图 II
Medium Projectile Locus Coordinator I	中型射弹武器轨迹校准设备 I
Medium Projectile Locus Coordinator I Blueprint	中型射弹武器轨迹校准设备蓝图 I
Medium Projectile Locus Coordinator II	中型射弹武器轨迹校准设备 II
Medium Projectile Locus Coordinator II Blueprint	中型射弹武器轨迹校准设备蓝图 II
Medium Projectile Metastasis Adjuster I	中型射弹武器急转控制器 I
Medium Projectile Metastasis Adjuster I Blueprint	中型射弹武器急转控制器蓝图 I
Medium Projectile Metastasis Adjuster II	中型射弹武器急转控制器 II
Medium Projectile Metastasis Adjuster II Blueprint	中型射弹武器急转控制器蓝图 II
Medium Projectile Turret	中型射弹炮台研究
Medium Projectile Weapon Rigs	中型射弹武器改装件
Medium Proton Smartbomb I	中型质子立体炸弹 I
Medium Proton Smartbomb I Blueprint	中型质子立体炸弹蓝图 I
Medium Proton Smartbomb II	中型质子立体炸弹 II
Medium Proton Smartbomb II Blueprint	中型质子立体炸弹蓝图 II
Medium Pulse Laser Battery	中型脉冲激光炮台
Medium Pulse Laser Battery Blueprint	中型脉冲激光炮台蓝图
Medium Pulse Laser Specialization	中型脉冲激光专业研究
Medium Railgun Battery	中型磁轨炮台
Medium Railgun Battery Blueprint	中型磁轨炮塔台蓝图
Medium Railgun Specialization	中型磁轨炮专业研究
Medium Remote Armor Repairer I	中型远程装甲维修器 I
Medium Remote Armor Repairer I Blueprint	中型远程装甲维修器蓝图 I
Medium Remote Armor Repairer II	中型远程装甲维修器 II
Medium Remote Armor Repairer II Blueprint	中型远程装甲维修器蓝图 II
Medium Remote Capacitor Transmitter I	中型远程电容传输装置 I
Medium Remote Capacitor Transmitter I Blueprint	中型远程电容传输装置蓝图 I
Medium Remote Capacitor Transmitter II	中型远程电容传输装置 II
Medium Remote Capacitor Transmitter II Blueprint	中型远程电容传输装置蓝图 II
Medium Remote Hull Repairer I	中型远程结构维修器 I
Medium Remote Hull Repairer I Blueprint	中型远程结构维修器蓝图 I
Medium Remote Hull Repairer II	中型远程结构维修器 II
Medium Remote Hull Repairer II Blueprint	中型远程结构维修器蓝图 II
Medium Remote Repair Augmentor I	中型远程维修增效器 I
Medium Remote Repair Augmentor I Blueprint	中型远程维修增效器蓝图 I
Medium Remote Repair Augmentor II	中型远程维修增效器 II
Medium Remote Repair Augmentor II Blueprint	中型远程维修增效器蓝图 II
Medium Remote Shield Booster I	中型远程护盾回充增量器 I
Medium Remote Shield Booster I Blueprint	中型远程护盾回充增量器蓝图 I
Medium Remote Shield Booster II	中型远程护盾回充增量器 II
Medium Remote Shield Booster II Blueprint	中型远程护盾回充增量器蓝图 II
Medium Resource Processing Rigs	中型资源加工改装件
Medium Rocket Fuel Cache Partition I	中型火箭燃料缓冲隔离装置 I
Medium Rocket Fuel Cache Partition I Blueprint	中型火箭燃料缓冲隔离装置蓝图 I
Medium Rocket Fuel Cache Partition II	中型火箭燃料缓冲隔离装置 II
Medium Rocket Fuel Cache Partition II Blueprint	中型火箭燃料缓冲隔离装置蓝图 II
Medium Rudimentary Concussion Bomb I	中型基础震荡离子炸弹 I
Medium Rudimentary Energy Destabilizer I	中型基础能量扰乱器 I
Medium S95a Scoped Remote Shield Booster	中型S95a视野型远程护盾回充增量器
Medium Salvage Tackle I	中型打捞回收工具 I
Medium Salvage Tackle I Blueprint	中型打捞回收工具蓝图 I
Medium Salvage Tackle II	中型打捞回收工具 II
Medium Salvage Tackle II Blueprint	中型打捞回收工具蓝图 II
Medium Scanning Rigs	中型扫描改装件
Medium Scout Drones	中型侦察无人机
Medium Secure Container	中型安全货柜
Medium Secure Container Blueprint	中型安全货柜蓝图
Medium Semiconductor Memory Cell I	中型半导体记忆电池 I
Medium Semiconductor Memory Cell I Blueprint	中型半导体记忆电池蓝图 I
Medium Semiconductor Memory Cell II	中型半导体记忆电池 II
Medium Semiconductor Memory Cell II Blueprint	中型半导体记忆电池蓝图 II
Medium Sentry Damage Augmentor I	中型岗哨炮伤害增强设备 I
Medium Sentry Damage Augmentor I Blueprint	中型岗哨炮伤害增强设备蓝图 I
Medium Sentry Damage Augmentor II	中型岗哨炮伤害增强设备 II
Medium Sentry Damage Augmentor II Blueprint	中型岗哨炮伤害增强设备蓝图 II
Medium Shield Booster I	中型护盾回充增量器 I
Medium Shield Booster I Blueprint	中型护盾回充增量器蓝图 I
Medium Shield Booster II	中型护盾回充增量器 II
Medium Shield Booster II Blueprint	中型护盾回充增量器蓝图 II
Medium Shield Extender I	中型护盾扩展装置 I
Medium Shield Extender I Blueprint	中型护盾扩展装置蓝图 I
Medium Shield Extender II	中型护盾扩展装置 II
Medium Shield Extender II Blueprint	中型护盾扩展装置蓝图 II
Medium Shield Maintenance Bot I	中型护盾维护机器人 I
Medium Shield Maintenance Bot I Blueprint	中型护盾维护机器人蓝图 I
Medium Shield Maintenance Bot II	中型护盾维护机器人 II
Medium Shield Maintenance Bot II Blueprint	中型护盾维护机器人蓝图 II
Medium Shield Rigs	中型护盾改装件
Medium Ship Assembly Array	中型舰船组装阵列
Medium Ship Assembly Array Blueprint	中型舰船组装阵列蓝图
Medium Ship Hold Capacity	中型舰船舱容量
Medium Signal Disruption Amplifier I	中型信号干扰增效装置 I
Medium Signal Disruption Amplifier I Blueprint	中型信号干扰增效装置蓝图 I
Medium Signal Disruption Amplifier II	中型信号干扰增效装置 II
Medium Signal Disruption Amplifier II Blueprint	中型信号干扰增效装置蓝图 II
Medium Signal Focusing Kit I	中型信号集中设备 I
Medium Signal Focusing Kit I Blueprint	中型信号集中设备蓝图 I
Medium Signal Focusing Kit II	中型信号集中设备 II
Medium Signal Focusing Kit II Blueprint	中型信号集中设备蓝图 II
Medium Sized Sealed Cargo Containers	中型密封的货柜
Medium Slot Modifier	中槽数调整
Medium Slots	中能量槽
Medium Solace Scoped Remote Armor Repairer	中型抚慰视野型远程装甲维修器
Medium Standard Container	中型标准货柜
Medium Standard Container Blueprint	中型标准货柜蓝图
Medium Stargate	中型星门
Medium Stargate blueprint	中型星门蓝图
Medium Stasis Drone Augmentor I	中型停滞无人机增强设备 I
Medium Stasis Drone Augmentor I Blueprint	中型停滞无人机增强设备蓝图 I
Medium Stasis Drone Augmentor II	中型停滞无人机增强设备 II
Medium Stasis Drone Augmentor II Blueprint	中型停滞无人机增强设备蓝图 II
Medium Storage Array	中型仓库阵列
Medium Structure Combat Rigs	中型建筑战斗改装件
Medium Structure Engineering Rigs	中型建筑工程改装件
Medium Structure Reprocessing Rigs	中型建筑提炼改装件
Medium Subordinate Screen Stabilizer I	中型二级监测稳定器 I
Medium Supplemental Barrier Emitter I	中型补充屏障发生器 I
Medium Tapered Capacitor Infusion I	中型锥形电容注电器 I
Medium Targeting Rigs	中型锁定系统改装件
Medium Targeting System Subcontroller I	中型锁定系统辅助控制器 I
Medium Targeting System Subcontroller I Blueprint	中型锁定系统辅助控制器蓝图 I
Medium Targeting System Subcontroller II	中型锁定系统辅助控制器 II
Medium Targeting System Subcontroller II Blueprint	中型锁定系统辅助控制器蓝图 II
Medium Targeting Systems Stabilizer I	中型锁定系统稳定器 I
Medium Targeting Systems Stabilizer I Blueprint	中型锁定系统稳定器蓝图 I
Medium Targeting Systems Stabilizer II	中型锁定系统稳定器 II
Medium Targeting Systems Stabilizer II Blueprint	中型锁定系统稳定器蓝图 II
Medium Tech I Large Ship Manufacturing I Blueprint	中型一级科技大型舰船制造蓝图 I
Medium Tech I Large Ship Manufacturing II Blueprint	中型一级科技大型舰船制造蓝图 II
Medium Tech I Large Ship Research I	中型一级科技大型舰船研究 I
Medium Tech I Large Ship Research I Blueprint	中型一级科技大型舰船研究蓝图 I
Medium Tech I Large Ship Research II	中型一级科技大型舰船研究 II
Medium Tech I Large Ship Research II Blueprint	中型一级科技大型舰船研究蓝图 II
Medium Tech I Medium Ship Manufacturing I Blueprint	中型一级科技中型舰船制造蓝图 I
Medium Tech I Medium Ship Manufacturing II Blueprint	中型一级科技中型舰船制造蓝图 II
Medium Tech I Medium Ship Research I	中型一级科技中型舰船研究 I
Medium Tech I Medium Ship Research I Blueprint	中型一级科技中型舰船研究蓝图 I
Medium Tech I Medium Ship Research II	中型一级科技中型舰船研究 II
Medium Tech I Medium Ship Research II Blueprint	中型一级科技中型舰船研究蓝图 II
Medium Tech I Small Ship Manufacturing I Blueprint	中型一级科技小型舰船制造蓝图 I
Medium Tech I Small Ship Manufacturing II Blueprint	中型一级科技小型舰船制造蓝图 II
Medium Tech I Small Ship Research I	中型一级科技小型舰船研究 I
Medium Tech I Small Ship Research I Blueprint	中型一级科技小型舰船研究蓝图 I
Medium Tech I Small Ship Research II	中型一级科技小型舰船研究 II
Medium Tech I Small Ship Research II Blueprint	中型一级科技小型舰船研究蓝图 II
Medium Tech II Large Ship Manufacturing I Blueprint	中型二级科技大型舰船制造蓝图 I
Medium Tech II Large Ship Manufacturing II Blueprint	中型二级科技大型舰船制造蓝图 II
Medium Tech II Medium Ship Manufacturing I Blueprint	中型二级科技中型舰船制造蓝图 I
Medium Tech II Medium Ship Manufacturing II Blueprint	中型二级科技中型舰船制造蓝图 II
Medium Tech II Small Ship Manufacturing I Blueprint	中型二级科技小型舰船制造蓝图 I
Medium Tech II Small Ship Manufacturing II Blueprint	中型二级科技小型舰船制造蓝图 II
Medium Tracking Diagnostic Subroutines I	中型跟踪诊断子程序 I
Medium Tracking Diagnostic Subroutines I Blueprint	中型跟踪诊断子程序蓝图 I
Medium Tracking Diagnostic Subroutines II	中型跟踪诊断子程序 II
Medium Tracking Diagnostic Subroutines II Blueprint	中型跟踪诊断子程序蓝图 II
Medium Tractor Beam I	中型牵引光束 I
Medium Tractor Beam I Blueprint	中型牵引光束器蓝图 I
Medium Transverse Bulkhead I	中型横贯舱壁 I
Medium Transverse Bulkhead I Blueprint	中型横贯舱壁蓝图 I
Medium Transverse Bulkhead II	中型横贯舱壁 II
Medium Transverse Bulkhead II Blueprint	中型横贯舱壁蓝图 II
Medium Trimark Armor Pump I	中型三角装甲聚合器 I
Medium Trimark Armor Pump I Blueprint	中型三角装甲聚合器蓝图 I
Medium Trimark Armor Pump II	中型三角装甲聚合器 II
Medium Trimark Armor Pump II Blueprint	中型三角装甲聚合器蓝图 II
Medium Unstable Power Fluctuator I	中型不稳定能源扰动器 I
Medium Warhead Calefaction Catalyst I	中型弹头加热辅助系统 I
Medium Warhead Calefaction Catalyst I Blueprint	中型弹头加热辅助系统蓝图 I
Medium Warhead Calefaction Catalyst II	中型弹头加热辅助系统 II
Medium Warhead Calefaction Catalyst II Blueprint	中型弹头加热辅助系统蓝图 II
Medium Warhead Flare Catalyst I	中型弹头爆燃辅助系统 I
Medium Warhead Flare Catalyst I Blueprint	中型弹头爆燃辅助系统蓝图 I
Medium Warhead Flare Catalyst II	中型弹头爆燃辅助系统 II
Medium Warhead Flare Catalyst II Blueprint	中型弹头爆燃辅助系统蓝图 II
Medium Warhead Rigor Catalyst I	中型弹头强化辅助系统 I
Medium Warhead Rigor Catalyst I Blueprint	中型弹头强化辅助系统蓝图 I
Medium Warhead Rigor Catalyst II	中型弹头强化辅助系统 II
Medium Warhead Rigor Catalyst II Blueprint	中型弹头强化辅助系统蓝图 II
Medium Warp Core Optimizer I	中型跃迁核心优化系统 I
Medium Warp Core Optimizer I Blueprint	中型跃迁核心优化系统蓝图 I
Medium Warp Core Optimizer II	中型跃迁核心优化系统 II
Medium Warp Core Optimizer II Blueprint	中型跃迁核心优化系统蓝图 II
Medium YF-12a Smartbomb	中型YF-12a立体炸弹
Medium power	中级能量
Medium weapon damage multiplier	中型武器伤害倍增系数
Medusa	美杜莎级
Medusa Blueprint	美杜莎级蓝图
Mega Afocal Maser I	超级无焦点微波激射器 I
Mega Afocal Pulse Maser I	超级无焦点脉冲微波激射器 I
Mega Anode Particle Stream I	超级阳极粒子束 I
Mega Anode Pulse Particle Stream I	超级阳极脉冲粒子束 I
Mega Beam Laser I	超级集束激光器 I
Mega Beam Laser I Blueprint	超级集束激光器蓝图 I
Mega Beam Laser II	超级集束激光器 II
Mega Beam Laser II Blueprint	超级集束激光器蓝图 II
Mega Modal Laser I	超级增强模式激光器 I
Mega Modal Pulse Laser I	超级增强模式脉冲激光器 I
Mega Modulated Energy Beam I	超级调制型能量光束 I
Mega Modulated Pulse Energy Beam I	超级调制型脉冲能量光束 I
Mega Pulse Laser I	超级脉冲激光器 I
Mega Pulse Laser I Blueprint	超级脉冲激光器蓝图 I
Mega Pulse Laser II	超级脉冲激光器 II
Mega Pulse Laser II Blueprint	超级脉冲激光器蓝图 II
Megacorp Management	大型军团管理培训
Megacyte	超噬矿
Megathron	万王宝座级
Megathron (Roden)	万王宝座级（莱登船业）
Megathron Blueprint	万王宝座级蓝图
Megathron Bow	万王宝座级船头
Megathron Federate Issue	万王宝座级联邦型
Megathron Federate Issue Blueprint	万王宝座级联邦型蓝图
Megathron Hull	万王宝座级船头
Megathron Inner Zone Shipping Edition	万王宝座级短途物流版
Megathron Inner Zone Shipping Edition Blueprint	万王宝座级短途物流版蓝图
Megathron Inner Zone Shipping SKIN (30 Days)	万王宝座级短途物流涂装（30天）
Megathron Inner Zone Shipping SKIN (365 Days)	万王宝座级短途物流涂装（365天）
Megathron Inner Zone Shipping SKIN (7 Days)	万王宝座级短途物流涂装（7天）
Megathron Inner Zone Shipping SKIN (90 Days)	万王宝座级短途物流涂装（90天）
Megathron Inner Zone Shipping SKIN (Permanent)	万王宝座级短途物流涂装（无限期）
Megathron Inner Zone Shipping Serenity Only SKIN (Permanent)	万王宝座级短途物流涂装（无限期）
Megathron Intaki Syndicate SKIN (30 Days)	万王宝座级印塔基涂装（30天）
Megathron Intaki Syndicate SKIN (365 Days)	万王宝座级印塔基涂装（365天）
Megathron Intaki Syndicate SKIN (7 Days)	万王宝座级印塔基涂装（7天）
Megathron Intaki Syndicate SKIN (90 Days)	万王宝座级印塔基涂装（90天）
Megathron Intaki Syndicate SKIN (Permanent)	万王宝座级印塔基涂装（无限期）
Megathron Intaki Syndicate Serenity Only SKIN (Permanent)	万王宝座级印塔基涂装（无限期）
Megathron Navy Issue	万王宝座级海军型
Megathron Navy Issue Blueprint	万王宝座级海军型蓝图
Megathron Navy Issue Intaki Syndicate SKIN (Permanent)	万王宝座级海军型印塔基涂装（无限期）
Megathron Navy Issue Intaki Syndicate Serenity Only SKIN (30 Days)	万王宝座级海军型印塔基涂装（30天）
Megathron Navy Issue Intaki Syndicate Serenity Only SKIN (365 Days)	万王宝座级海军型印塔基涂装（365天）
Megathron Navy Issue Intaki Syndicate Serenity Only SKIN (7 Days)	万王宝座级海军型印塔基涂装（7天）
Megathron Navy Issue Intaki Syndicate Serenity Only SKIN (90 Days)	万王宝座级海军型印塔基涂装（90天）
Megathron Navy Issue Intaki Syndicate Serenity Only SKIN (Permanent)	万王宝座级海军型印塔基涂装（无限期）
Megathron Navy Issue Sapphire Sungrazer SKIN (Permanent)	万王宝座级海军型蓝星掠日涂装（无限期）
Megathron Navy Issue YC119 Guardian's Gala 'Spirit' Edition SKIN (Permanent)	万王宝座级海军型YC119年守护者“派对精神”涂装（无限期）
Megathron Police Edition	万王宝座级警察版
